"Nyheter","Tillit","Rettferdige","Pavirkning","Tillit_Storting","Tillit_Dom","Tillit_Politi","Tillit_Politikere","Stemme","Alder","Kjonn","Inntekt","Utdanning"
60,5,5,2,3,3,5,1,NA,58,1,NA,6
60,1,3,2,1,1,0,0,7,47,1,9,10
15,8,8,4,10,8,9,8,7,64,1,3,3
60,7,6,3,7,7,7,5,NA,63,1,3,10
120,6,8,4,8,8,7,7,NA,75,2,4,10
45,7,8,3,7,9,9,6,7,39,1,6,6
60,10,4,1,0,3,3,0,8,28,1,10,9
90,9,9,4,10,10,10,7,3,69,1,3,3
30,6,5,3,7,8,9,7,NA,18,2,NA,3
90,9,9,3,8,7,10,7,7,79,2,4,5
120,5,8,3,5,7,7,4,3,62,2,1,12
120,9,9,4,6,10,9,8,6,52,2,4,12
60,8,7,3,10,10,9,8,7,71,2,8,10
240,8,8,4,7,7,7,6,4,44,1,2,9
60,7,8,4,8,8,8,5,7,46,1,9,13
80,7,8,4,8,9,8,6,7,71,1,5,6
30,9,9,4,8,6,6,5,NA,48,2,6,9
60,4,7,3,7,7,6,5,NA,16,2,NA,3
120,9,9,3,6,8,9,7,2,64,1,7,11
0,3,5,NA,6,2,0,6,7,43,1,10,6
120,9,9,3,7,8,9,7,4,51,2,3,10
40,8,7,3,7,8,8,6,3,60,1,5,10
120,8,7,3,7,8,9,6,7,50,1,4,13
30,5,7,1,2,2,1,1,6,44,1,2,3
480,7,8,3,8,9,9,7,3,23,2,4,11
150,7,7,4,6,7,7,5,1,NA,1,5,11
60,8,7,4,9,10,9,7,7,67,1,6,11
30,1,5,1,8,7,6,3,8,35,1,5,5
40,6,7,3,5,8,10,5,3,19,1,7,6
5,5,8,4,NA,9,6,6,NA,16,2,NA,2
30,10,10,4,7,9,9,6,NA,17,2,NA,3
60,8,9,2,10,10,8,6,3,60,1,7,6
5,8,6,2,7,9,9,7,7,25,1,6,8
60,8,9,4,9,9,10,9,6,22,2,NA,5
60,7,7,4,8,7,8,6,2,40,2,5,12
60,9,9,4,9,8,7,8,2,36,1,6,13
120,8,8,3,8,8,8,6,3,75,1,7,13
15,6,7,4,4,7,8,4,7,39,2,6,14
360,5,4,2,5,5,8,5,3,54,1,6,6
150,7,7,3,9,9,9,7,2,63,2,4,11
60,5,7,2,7,8,8,5,NA,52,1,9,9
10,5,5,3,7,7,7,6,NA,15,2,4,3
15,7,8,3,8,10,10,6,NA,47,2,8,10
30,8,8,2,5,7,7,5,NA,35,1,8,6
60,8,8,3,6,7,8,4,NA,80,2,4,9
60,7,7,3,6,7,5,5,6,53,2,6,6
45,7,7,3,7,9,10,6,2,49,2,3,9
60,8,9,3,10,8,10,8,2,24,2,8,11
30,5,5,1,5,10,8,5,NA,66,1,1,3
120,8,8,3,9,8,7,6,3,55,1,8,14
60,7,7,3,8,9,6,5,6,53,1,10,10
90,9,9,5,10,10,10,8,4,58,1,9,13
15,9,8,2,6,8,7,6,3,35,1,6,11
30,8,7,4,8,8,9,7,3,49,2,3,13
130,7,7,3,7,8,8,6,7,58,1,9,6
270,7,8,2,5,8,6,5,6,77,1,5,10
300,6,6,2,4,7,9,3,10,85,1,2,8
180,9,6,3,10,10,10,9,7,22,1,3,5
30,6,10,3,8,8,9,7,NA,23,1,1,9
0,8,8,NA,9,9,9,8,3,21,1,8,5
60,10,10,NA,5,8,9,7,NA,16,2,7,3
60,3,6,3,6,8,10,5,7,26,1,3,11
15,8,7,3,7,8,8,6,2,48,2,3,12
60,7,1,3,8,8,10,5,7,34,2,5,10
0,4,7,2,2,3,3,2,8,29,2,4,6
180,8,8,3,7,8,8,7,3,65,1,8,6
120,7,7,5,8,5,6,9,10,25,2,3,10
10,9,9,4,8,8,9,7,7,56,1,8,6
120,7,7,2,4,7,7,4,NA,41,1,7,14
45,6,7,4,8,8,9,6,10,31,2,3,5
60,7,7,2,6,8,6,5,7,31,1,3,6
10,7,8,3,7,8,8,5,3,60,1,3,10
30,6,6,3,9,10,9,4,NA,35,1,3,8
NA,6,6,3,7,8,8,6,7,47,1,6,10
30,8,8,3,7,6,4,6,1,29,2,6,6
120,8,8,4,9,10,10,7,4,29,1,4,13
120,8,8,4,7,8,8,7,3,53,2,2,10
90,7,5,2,7,9,8,4,7,NA,1,7,10
5,8,7,1,8,8,8,7,4,38,1,10,12
10,7,5,4,7,8,9,5,NA,19,1,1,4
30,9,9,3,9,9,9,7,3,NA,2,5,10
60,8,10,4,10,6,10,10,NA,34,1,3,6
180,9,9,4,8,10,9,6,7,72,2,2,3
15,7,8,3,6,5,6,7,3,60,1,5,6
120,7,8,3,7,8,10,5,2,46,1,3,6
15,7,6,2,2,7,8,1,7,32,1,5,6
20,7,7,3,8,8,8,6,NA,25,1,NA,5
60,5,8,2,7,10,10,7,6,33,1,8,8
45,7,7,3,8,9,8,6,10,58,1,7,13
20,5,2,3,7,5,5,5,3,55,2,2,6
60,7,7,2,6,7,7,5,7,32,1,6,8
614,7,7,3,7,8,8,6,7,44,2,7,13
360,5,0,3,7,8,8,6,8,80,2,NA,13
0,3,9,3,4,3,5,5,NA,17,1,NA,3
60,7,5,4,6,7,6,5,6,23,1,8,8
90,7,7,3,8,8,8,6,7,71,2,6,4
30,8,9,3,4,7,7,5,3,68,1,2,3
10,7,6,3,5,7,8,6,NA,19,2,9,3
5,10,8,4,7,7,7,7,3,40,1,5,6
30,5,5,2,6,7,7,2,3,66,1,6,9
60,9,8,3,7,6,4,5,8,NA,1,6,10
300,8,8,3,8,8,7,8,7,86,1,8,12
180,9,9,3,10,8,8,7,2,71,2,4,9
15,7,7,2,7,7,7,2,3,56,1,5,6
180,8,8,3,5,7,7,5,3,79,2,2,12
975,3,4,3,5,5,5,4,NA,18,2,4,3
20,6,7,2,6,8,9,5,4,43,1,10,10
20,8,8,3,8,7,9,7,NA,18,1,10,3
90,3,6,3,4,6,7,3,3,30,2,8,13
90,9,9,4,8,9,7,6,1,35,1,6,13
60,8,9,3,9,9,9,8,4,44,1,6,9
20,8,8,4,8,9,9,8,7,33,2,8,13
NA,9,8,3,7,6,7,4,NA,43,1,NA,14
30,6,6,2,10,10,8,8,8,27,2,4,3
30,7,9,2,6,8,8,4,8,50,2,4,6
15,5,NA,4,8,NA,7,7,NA,46,1,8,6
30,8,8,3,7,8,10,8,NA,66,2,2,10
60,8,8,4,9,10,10,8,3,34,1,8,13
300,10,10,4,10,10,10,9,11,65,1,5,6
45,7,9,2,8,8,6,6,2,65,2,7,12
30,5,4,2,3,3,4,0,6,74,1,NA,3
30,5,4,4,8,8,8,4,NA,21,2,10,5
20,8,8,3,6,8,8,6,3,63,1,5,10
90,9,9,4,9,9,7,7,7,64,1,10,3
30,7,5,2,7,8,6,3,NA,36,1,2,6
120,7,8,3,8,9,8,6,6,70,1,4,13
180,7,7,2,8,8,7,6,7,62,2,9,10
60,0,5,2,5,5,5,1,6,67,1,2,3
120,6,6,3,8,9,6,3,7,66,1,10,10
30,7,6,4,8,8,8,7,5,40,2,6,10
180,0,0,2,3,3,3,2,NA,17,2,NA,3
120,9,8,3,7,9,9,6,6,30,1,9,6
60,7,2,3,9,8,5,2,7,47,2,8,8
120,8,8,3,5,5,6,5,7,75,1,3,8
15,6,8,4,8,8,9,5,NA,56,1,6,9
15,5,9,3,4,3,3,3,3,57,2,2,4
5,0,3,2,6,8,8,7,NA,17,2,10,3
45,8,10,3,8,7,10,8,8,52,1,4,10
40,8,8,2,9,10,10,9,8,54,1,9,3
120,3,5,1,3,3,2,2,NA,40,1,8,5
120,8,9,2,9,9,9,7,3,44,2,7,13
120,6,6,3,7,8,8,7,7,55,1,6,11
15,5,5,1,2,5,7,0,8,59,2,5,3
60,8,9,3,4,9,9,3,3,50,1,4,6
60,8,9,3,9,10,10,8,NA,26,2,1,9
120,2,8,2,2,2,1,1,7,62,2,5,7
60,6,3,3,4,5,7,4,8,59,1,8,9
60,5,9,2,3,5,7,2,8,77,1,4,9
120,8,8,4,6,9,8,6,6,67,2,NA,13
10,4,5,3,8,9,10,4,11,24,2,8,6
90,8,6,4,8,7,9,6,10,32,2,6,13
5,8,7,3,7,10,9,3,2,30,2,10,13
60,7,10,3,7,9,8,6,2,65,2,NA,11
120,4,6,4,7,9,9,5,7,54,1,10,13
60,8,8,4,10,10,10,5,NA,47,2,2,6
120,5,7,3,8,8,8,5,NA,57,2,6,9
45,7,5,4,8,10,7,7,3,55,2,2,13
120,8,7,3,8,7,8,6,7,54,2,9,10
45,8,8,4,7,9,7,5,7,47,1,6,13
60,6,7,3,7,8,6,4,4,39,1,6,10
10,3,5,1,3,6,7,2,NA,27,2,2,5
150,7,7,4,9,8,7,7,7,40,1,3,13
60,4,1,3,6,8,8,4,NA,19,2,2,3
150,7,7,2,4,4,6,4,7,71,2,3,10
75,5,8,3,9,9,9,5,NA,68,2,7,12
240,3,4,2,3,4,10,0,7,57,1,10,8
NA,5,5,4,5,NA,5,3,NA,NA,2,3,6
5,3,2,3,4,5,7,3,6,52,1,8,6
120,9,10,3,8,9,9,8,NA,42,1,5,6
120,7,7,4,9,9,7,7,4,62,2,10,12
60,8,8,4,10,10,10,5,5,28,2,5,10
180,10,10,5,8,10,10,7,5,54,2,3,10
5,5,6,4,10,10,10,8,NA,19,1,10,6
120,8,8,4,9,9,9,8,7,58,1,4,11
90,6,8,2,7,6,6,6,NA,15,2,9,2
120,7,9,3,7,10,9,3,6,60,1,7,6
60,7,7,3,8,9,9,5,7,53,1,NA,6
60,6,6,3,9,8,7,5,3,51,1,8,14
120,8,8,3,10,10,10,8,7,54,1,10,9
60,7,7,4,6,8,6,6,NA,53,2,7,13
20,8,9,NA,10,NA,10,7,NA,19,2,NA,3
120,9,8,2,3,7,8,0,7,27,2,6,6
30,5,7,1,2,0,2,2,NA,73,2,1,3
60,9,7,3,8,7,9,5,3,55,1,7,10
30,7,7,2,4,7,7,3,8,34,1,8,8
45,4,4,3,6,5,4,2,NA,20,1,3,6
150,6,5,2,7,9,10,6,7,25,1,2,10
60,8,9,3,7,7,9,6,7,47,2,9,10
30,5,8,1,3,8,5,0,10,73,2,3,12
10,7,7,2,5,7,8,5,NA,21,1,10,5
60,3,6,2,6,7,3,3,7,29,2,8,11
150,9,9,4,7,8,8,6,7,70,2,NA,9
525,5,5,3,5,6,6,5,2,35,2,4,6
90,8,7,3,7,9,8,6,7,51,1,9,9
902,10,10,3,8,10,10,8,3,68,2,5,9
90,10,7,1,10,8,10,5,7,66,2,4,3
90,7,7,3,6,7,8,5,8,34,1,9,6
10,5,4,2,5,7,7,3,2,40,1,3,6
90,10,9,3,5,9,7,3,7,39,1,10,13
210,9,9,4,8,10,10,8,7,79,1,7,13
120,7,10,3,6,9,9,7,NA,80,2,2,3
60,7,5,2,7,7,9,5,8,53,1,5,5
120,8,8,3,8,7,8,7,7,69,1,5,11
165,7,7,5,9,9,9,8,3,66,1,9,12
30,6,6,3,7,8,8,7,NA,42,2,2,6
150,7,5,2,7,8,7,6,8,61,1,6,10
60,5,5,4,7,8,7,5,3,62,1,4,9
45,7,9,1,2,3,5,0,NA,16,1,9,3
60,5,5,NA,NA,5,3,NA,NA,17,2,NA,3
20,5,7,3,10,NA,10,9,NA,16,1,NA,2
180,7,7,NA,7,8,8,6,3,22,1,NA,6
15,7,4,2,3,8,8,2,NA,39,1,4,10
60,8,8,3,8,8,8,6,1,71,2,1,10
60,8,7,3,5,5,8,2,10,19,2,2,3
5,4,5,3,10,10,10,6,NA,36,1,7,10
60,9,9,3,8,8,9,7,3,70,2,8,3
60,5,4,2,4,6,4,4,6,68,1,3,6
30,6,4,2,6,5,6,4,7,46,2,4,5
120,2,2,3,6,6,4,2,NA,25,1,4,10
30,7,7,2,4,6,7,4,3,53,1,3,6
10,3,5,3,7,8,10,5,NA,NA,2,2,10
60,7,7,3,8,9,7,6,4,51,1,7,12
NA,5,9,1,0,4,6,2,3,62,1,5,5
120,8,7,3,8,9,8,7,3,58,2,8,9
40,7,7,3,8,7,8,6,NA,49,2,1,6
60,6,7,3,6,5,5,5,NA,55,2,4,8
90,7,7,3,7,7,4,4,8,52,2,4,6
15,5,5,3,8,10,8,5,4,21,2,2,5555
60,8,7,3,8,9,8,7,3,45,1,5,6
60,7,7,3,8,8,10,7,8,40,1,10,10
120,6,10,1,8,8,8,5,3,67,2,4,6
20,8,8,3,8,9,9,7,7,41,1,7,13
240,8,8,2,8,8,8,4,NA,70,2,2,6
15,6,3,2,3,6,7,4,NA,23,1,4,6
120,8,9,4,8,9,8,6,1,32,1,7,5
1074,5,5,2,5,NA,10,3,NA,29,2,5,5
180,9,9,4,8,9,9,7,4,73,2,2,13
120,4,5,3,3,3,4,3,10,65,1,6,11
180,8,8,3,8,8,9,5,2,70,1,4,12
30,8,8,3,8,9,9,6,7,58,1,7,5
15,7,9,3,7,10,10,6,5,32,1,2,10
30,7,3,1,0,5,7,0,8,43,1,10,6
NA,7,7,3,3,3,4,3,8,69,2,4,3
120,7,7,2,7,7,10,7,7,25,1,NA,6
30,9,9,3,9,9,8,3,3,59,1,7,5
210,10,9,3,9,7,8,6,3,77,2,2,5
90,9,9,3,8,9,8,6,2,68,2,9,9
30,7,8,3,8,9,10,6,7,30,2,2,10
60,7,7,2,9,9,8,5,7,49,1,3,9
60,8,7,2,9,8,8,7,NA,54,1,5,10
120,8,7,2,7,8,8,6,7,70,1,4,9
15,7,8,2,4,7,8,5,NA,NA,1,4,9
30,7,5,NA,10,10,10,10,3,30,1,7,9
10,7,6,3,8,7,7,6,NA,19,2,3,5
180,5,9,2,4,NA,NA,5,3,54,1,5,8
120,5,6,3,5,5,8,3,NA,26,2,6,6
90,7,8,1,9,4,8,3,4,50,1,10,12
60,3,3,2,2,3,5,2,NA,45,1,9,5
60,7,8,3,10,6,10,7,NA,25,1,5,8
30,5,7,2,5,0,3,6,NA,18,2,NA,3
60,8,7,1,4,7,7,5,2,67,2,NA,3
0,4,7,2,4,8,8,3,5,45,2,3,9
180,7,7,2,6,4,8,2,7,40,1,6,12
40,5,6,3,8,9,10,7,7,49,1,4,10
0,2,8,3,9,9,8,9,NA,15,2,10,2
60,0,5,1,2,2,8,0,7,47,2,6,6
60,7,7,2,6,7,8,5,3,49,2,8,9
60,7,8,3,8,8,7,6,2,42,1,6,13
60,10,10,4,8,10,10,7,3,56,1,3,8
45,9,8,5,8,7,8,7,1,25,1,6,9
120,5,7,3,6,7,7,6,8,49,1,8,6
270,9,9,3,9,9,9,7,7,42,2,8,10
60,8,8,3,7,9,9,6,6,48,1,7,13
30,6,7,4,7,6,5,5,NA,18,1,1,3
120,10,10,3,4,4,4,4,7,70,1,3,3
5,5,8,2,8,8,7,6,7,54,2,6,12
60,5,7,3,5,5,5,5,NA,65,1,5,6
30,7,9,3,7,7,9,7,NA,NA,1,NA,6
15,6,6,4,7,5,1,5,7,49,2,5,5
60,8,8,3,7,9,9,5,3,40,2,10,12
270,10,5,1,7,7,8,8,8,NA,2,3,6
60,8,8,1,8,6,5,5,8,72,1,7,7
150,7,8,3,7,9,5,6,10,81,1,6,13
120,7,7,4,8,9,9,7,NA,26,2,7,12
90,6,7,2,6,8,8,5,5,56,2,9,5
60,7,7,3,6,7,9,4,3,28,2,9,10
30,9,9,3,8,8,9,5,10,50,1,2,6
60,7,8,3,7,7,7,5,4,22,1,8,4
45,8,7,4,10,10,10,8,3,47,1,8,6
30,2,3,3,7,8,9,5,NA,NA,1,1,3
180,7,6,3,8,10,9,6,7,75,2,5,11
60,4,7,4,7,4,4,2,4,30,1,8,11
60,8,8,2,6,9,7,4,3,53,1,5,12
180,7,9,2,9,7,7,7,10,80,2,1,3
120,9,9,3,9,9,8,8,6,NA,1,7,12
120,7,8,3,7,5,7,4,7,67,2,6,10
60,5,7,3,6,7,7,7,3,NA,2,6,11
90,5,5,3,7,9,6,6,3,49,1,5,10
60,7,8,3,7,9,9,5,7,54,2,10,10
841,4,2,4,9,NA,6,4,NA,40,2,NA,9
NA,7,7,3,7,9,9,7,2,25,2,2,11
240,8,8,3,10,9,9,6,7,53,1,4,10
558,10,5,2,2,3,3,2,3,74,1,2,3
30,6,6,3,4,7,7,6,6,42,2,7,5
90,8,8,4,10,10,8,9,4,59,2,10,11
90,5,7,4,8,7,7,6,3,66,2,NA,10
40,3,9,2,9,9,9,5,7,30,1,7,13
0,7,6,4,7,8,8,4,NA,19,1,3,5
30,8,7,2,8,9,10,6,7,38,1,10,11
30,8,7,3,8,9,10,7,7,29,1,4,5
30,3,4,2,3,5,4,2,8,50,1,5,8
60,7,7,2,3,8,5,4,6,34,1,8,6
60,3,5,3,9,9,9,6,7,72,1,7,10
60,7,8,3,7,7,7,6,3,40,2,7,13
90,6,6,3,5,10,8,5,NA,24,1,NA,5
15,3,6,3,7,6,4,2,2,51,1,7,13
120,8,7,3,8,9,6,4,11,NA,1,7,13
90,7,7,2,6,8,9,6,8,75,1,3,8
15,10,8,3,8,8,8,6,7,28,1,1,11
15,5,6,3,7,9,10,3,NA,21,1,5,9
60,4,6,3,4,4,5,4,4,45,2,10,12
150,7,7,3,9,9,10,8,7,72,1,5,10
30,5,5,2,5,9,7,3,7,26,1,6,6
971,7,8,4,9,10,10,7,7,22,2,1,5
30,8,8,NA,6,6,7,4,7,43,2,NA,6
60,8,8,4,9,9,8,7,3,48,1,9,12
30,6,10,3,8,8,10,5,4,17,2,NA,3
150,4,5,1,9,9,8,6,2,77,2,1,5
120,10,10,4,10,10,10,8,7,79,1,6,13
60,8,8,3,9,10,10,6,NA,19,2,4,13
150,9,8,4,8,10,8,6,4,73,1,6,13
120,8,8,3,9,8,9,7,7,49,1,10,9
10,7,8,3,6,8,8,1,3,24,1,8,6
10,5,6,2,8,8,8,8,NA,39,1,4,2
30,8,8,3,7,7,8,6,7,64,1,5,7
120,9,10,2,10,10,10,6,NA,35,1,2,12
60,7,6,2,6,4,5,5,4,37,1,6,6
120,8,8,2,7,8,9,5,7,47,1,10,12
60,4,4,3,7,7,8,9,1,44,2,1,10
10,6,7,2,3,3,6,3,2,21,2,2,6
10,3,4,2,2,3,2,3,NA,23,1,8,3
30,4,4,3,6,7,7,5,4,33,1,3,10
60,0,9,NA,10,NA,10,10,NA,18,2,NA,3
20,3,5,3,4,5,6,4,3,39,1,8,9
60,8,7,2,8,8,7,6,3,36,2,8,11
360,7,7,3,8,10,10,5,7,65,1,8,11
30,8,9,3,8,8,8,7,NA,42,2,10,12
90,8,8,3,8,8,8,7,8,72,1,4,3
60,6,6,3,5,7,8,4,10,51,2,NA,6
180,8,7,1,5,7,8,2,8,79,1,4,5
60,9,6,3,7,6,7,5,8,70,1,7,13
10,7,5,4,9,6,9,4,1,35,2,8,13
60,6,7,4,8,9,9,5,1,29,2,8,13
20,9,8,3,10,10,10,7,7,48,1,10,12
30,5,7,3,5,5,5,4,NA,50,2,2,9
15,5,9,4,9,8,8,7,NA,17,2,NA,3
30,4,7,4,7,10,6,3,2,24,2,6,5
60,8,9,5,10,10,10,6,7,38,1,9,13
180,5,7,3,4,9,9,4,8,74,2,5,7
10,9,9,2,3,7,7,1,8,34,1,6,6
210,9,9,3,9,9,8,8,3,66,2,7,13
90,9,9,4,8,8,8,7,2,28,2,5,11
60,8,8,3,8,7,8,6,4,40,1,10,10
300,9,7,2,7,2,6,5,2,57,1,3,11
30,8,7,3,8,9,9,6,2,44,2,9,14
45,5,7,2,3,2,4,1,10,38,2,3,6
30,8,8,3,7,7,7,6,NA,48,2,4,10
150,7,7,3,9,9,9,8,3,54,2,9,13
60,8,8,3,7,8,10,7,7,55,1,2,11
270,5,8,2,8,8,9,6,8,90,2,1,3
608,3,6,3,3,5,6,4,3,63,2,2,10
270,9,10,4,8,8,10,9,8,83,2,2,5
15,6,7,3,6,5,7,4,7,38,2,10,13
90,8,8,4,9,10,8,7,3,47,1,6,10
2,10,10,4,10,10,10,9,NA,17,2,NA,3
120,6,6,3,7,7,4,5,2,NA,1,5,5
30,7,8,3,8,8,8,5,7,50,1,4,6
0,4,8,3,4,6,7,3,NA,20,1,NA,6
60,7,8,3,9,9,8,4,2,45,2,7,12
60,2,3,3,6,7,8,3,3,58,1,2,6
30,8,7,4,9,9,9,7,4,24,1,1,5
NA,9,9,4,8,9,10,8,2,33,2,10,12
30,7,9,4,7,9,6,6,3,54,2,10,9
120,6,5,4,9,9,8,6,NA,19,2,7,8
180,5,8,3,0,10,8,4,8,90,1,8,9
60,7,7,2,5,7,9,5,7,61,1,8,9
NA,8,9,3,6,8,10,6,2,29,2,NA,8
60,8,8,3,7,8,9,6,6,60,1,7,9
30,8,8,3,8,8,8,7,NA,52,2,3,11
60,5,3,3,7,0,6,6,7,47,1,5,10
60,7,7,3,8,8,8,7,4,66,1,8,11
30,7,7,3,8,9,9,6,NA,55,2,10,7
120,8,9,3,7,8,9,7,7,44,2,9,11
30,4,5,3,6,9,9,5,7,29,1,10,5
60,6,7,4,7,8,8,7,7,48,1,10,10
30,5,7,4,4,4,9,4,3,65,1,7,10
947,6,9,4,10,9,10,9,NA,15,2,NA,2
20,7,8,1,5,6,5,4,NA,17,2,4,3
30,8,7,4,9,10,9,6,10,48,1,6,13
120,10,10,4,7,9,7,6,6,52,1,6,11
75,9,9,4,9,9,9,7,3,45,2,8,13
330,8,8,2,2,8,6,1,8,71,1,1,10
10,8,5,2,9,9,9,8,7,45,2,5,9
10,8,8,3,10,10,10,9,3,28,2,7,10
120,10,9,1,5,8,5,4,3,78,1,3,6
30,7,8,3,6,9,8,5,7,39,2,8,11
60,5,7,3,6,8,10,6,3,24,2,8,9
0,5,7,3,10,10,9,8,NA,16,1,8,2
120,7,4,3,6,6,7,5,8,55,1,7,6
120,8,8,3,8,8,8,5,3,74,1,5,10
120,7,7,2,8,8,8,6,7,75,1,7,5
20,10,10,2,5,9,8,2,10,53,1,6,6
30,7,7,3,8,10,10,6,7,42,1,8,8
866,0,0,2,3,5,5,2,8,64,1,3,3
30,5,5,3,8,8,5,5,7,37,2,6,11
30,4,5,3,7,4,4,4,NA,62,2,3,5
60,3,4,3,8,7,6,4,2,28,1,2,9
120,9,8,2,7,10,10,3,8,46,1,4,6
60,9,8,3,7,6,6,4,10,28,1,6,13
60,8,7,3,9,9,8,5,7,51,1,7,12
30,6,7,3,6,5,8,5,NA,18,2,NA,3
60,5,8,3,6,7,7,5,3,65,1,8,6
15,7,3,4,10,NA,10,5,NA,19,1,10,3
90,8,7,3,8,9,7,7,2,43,1,10,13
20,5,7,3,7,4,8,5,NA,17,1,3,3
60,3,1,2,6,8,8,2,11,32,1,8,6
120,7,8,3,7,8,9,5,6,69,1,4,6
30,8,8,3,6,6,6,6,3,58,1,2,10
60,5,5,4,9,10,10,8,7,44,2,6,13
15,5,7,4,5,6,7,6,NA,20,2,3,5
45,8,7,3,8,9,10,6,3,38,1,2,13
120,6,6,3,4,5,6,4,NA,25,1,3,8
20,7,7,3,4,7,9,3,3,49,1,8,10
600,8,8,4,8,9,8,6,3,48,2,9,12
60,7,10,3,6,7,7,5,3,23,1,NA,6
5,10,7,4,10,10,10,9,NA,19,1,NA,3
60,7,7,3,7,8,9,5,2,42,2,6,10
15,6,7,3,9,9,9,6,NA,17,2,NA,3
150,6,5,2,5,7,1,4,3,47,2,6,12
30,8,8,2,6,8,9,4,6,50,2,4,9
180,3,3,3,6,9,9,5,8,19,1,4,6
15,6,5,3,7,9,10,5,NA,18,1,NA,3
30,8,8,2,6,8,7,4,5,38,1,8,5
540,8,7,3,10,8,8,8,8,65,1,NA,3
240,8,8,2,7,8,9,5,7,41,1,10,11
30,8,8,3,8,7,8,5,3,44,2,9,13
30,6,6,3,5,6,8,4,NA,73,1,2,3
20,7,7,3,6,6,7,5,3,29,2,NA,10
16,10,9,1,5,5,4,5,NA,34,2,6,10
90,9,8,3,8,8,8,7,5,56,1,5,12
45,8,7,2,8,6,4,7,NA,61,1,9,14
20,9,9,1,7,7,7,5,8,55,1,6,6
30,7,7,3,4,5,7,3,3,55,2,6,6
20,9,10,2,5,8,9,5,3,51,1,5,5
30,8,7,3,6,8,8,5,10,20,1,1,6
150,7,5,4,8,10,10,5,3,72,1,6,10
60,4,5,NA,7,8,9,6,7,31,2,7,10
10,6,4,3,8,7,6,8,3,31,1,7,6
180,9,10,4,9,9,9,8,2,71,2,8,14
60,5,4,3,7,8,6,4,7,61,1,10,12
60,7,7,NA,5,5,9,5,NA,38,1,4,13
60,7,7,3,8,8,9,6,3,58,1,8,14
30,2,8,3,7,8,7,7,NA,59,1,3,10
40,5,8,4,10,8,6,7,3,59,1,6,10
120,1,5,4,10,8,8,3,3,42,1,4,2
3,8,7,3,7,7,8,5,NA,19,2,7,5
30,8,8,3,10,10,10,8,7,46,2,4,14
90,7,7,5,8,10,9,6,3,66,1,4,8
120,4,5,1,5,6,7,3,NA,37,1,3,8
120,8,9,3,10,10,10,8,NA,41,2,7,5
