"internettbruk","kjonn","alder","utdanning","tillit"
2,2,33,3,NA
5,1,19,13,5
4,2,77,8,0
1,2,76,9,5
5,2,54,11,4
1,1,45,10,4
5,1,43,20,4
5,2,19,12,0
1,2,71,8,4
5,1,58,10,6
1,2,70,5,NA
5,2,27,13,6
4,1,40,12,4
4,1,67,15,0
1,2,90,4,6
5,2,47,11,6
5,1,26,13,6
5,1,50,8,5
1,2,55,8,0
3,1,40,8,NA
5,2,57,15,3
5,2,40,16,6
5,1,20,7,2
5,2,24,16,6
5,1,35,16,7
5,1,48,13,5
5,2,40,13,5
5,1,47,11,4
1,2,77,8,0
5,2,36,16,4
5,1,51,18,0
1,1,73,5,0
1,1,76,5,4
5,2,19,13,6
5,2,67,9,NA
5,1,38,17,4
5,2,58,10,0
2,1,35,13,2
1,1,73,7,0
5,2,19,NA,0
3,1,73,13,5
1,2,55,8,6
1,1,77,4,4
4,2,58,12,3
1,1,74,5,4
3,1,69,8,6
1,2,73,1,6
1,1,86,5,3
5,1,66,13,5
5,2,28,11,4
4,1,35,12,4
3,1,38,13,5
4,1,62,16,5
5,1,58,9,5
1,2,63,14,2
5,1,36,16,3
4,1,59,18,4
5,2,33,16,5
5,2,53,13,4
5,2,55,13,5
1,2,56,8,5
5,1,24,17,5
1,2,85,12,6
5,2,49,13,4
5,2,26,19,6
5,1,47,8,7
5,2,52,17,7
1,2,67,5,0
5,1,26,9,7
1,2,90,3,1
1,1,90,2,2
1,2,78,5,0
5,1,16,10,7
5,2,52,16,3
1,2,73,8,7
5,2,39,11,5
5,1,59,13,8
5,2,17,11,6
1,2,78,5,3
5,1,22,13,5
1,2,66,10,0
5,1,27,8,1
5,2,77,18,7
5,1,64,14,6
2,1,65,8,6
1,1,63,8,5
4,2,48,10,0
5,1,47,20,6
5,1,68,14,7
4,1,79,3,7
2,1,51,13,6
5,2,51,13,3
5,2,19,15,7
4,1,35,13,0
4,2,17,12,NA
5,1,75,8,8
5,1,NA,18,3
1,1,78,8,0
5,1,24,13,0
5,1,46,13,7
1,2,90,2,0
5,2,48,16,0
5,1,51,14,8
4,1,38,13,1
2,2,71,5,6
4,1,61,12,4
5,1,39,14,0
3,2,75,13,NA
1,1,50,8,3
1,2,51,11,2
2,2,82,8,5
4,2,69,18,0
5,2,55,23,7
5,1,44,8,0
5,1,50,15,2
1,1,55,13,3
5,1,26,13,5
1,2,61,12,5
1,2,74,9,0
4,1,37,12,5
5,1,30,8,1
5,2,43,10,2
5,1,27,13,3
4,2,19,13,6
3,2,39,8,0
1,1,66,8,0
5,1,37,15,5
4,2,38,8,8
5,1,26,19,6
1,2,77,13,7
1,1,80,5,6
1,1,75,8,7
2,2,67,7,0
1,1,78,5,5
5,2,53,13,5
5,1,54,8,6
1,2,58,13,NA
5,1,18,12,7
3,1,34,14,5
4,2,61,8,3
4,2,70,12,0
5,1,21,15,6
5,1,24,10,5
3,2,49,11,1
1,1,67,8,2
5,2,21,13,2
1,2,54,11,1
5,1,23,13,6
5,2,32,13,5
2,2,71,10,10
2,2,65,8,5
1,1,80,5,5
4,1,41,8,0
2,1,49,7,1
5,2,73,17,6
5,2,55,13,5
1,2,76,2,4
1,2,76,NA,0
5,1,46,17,7
4,1,35,NA,1
5,1,61,13,6
2,2,72,13,0
5,1,43,13,2
2,1,65,8,8
2,1,36,8,5
5,1,57,18,9
5,1,57,13,6
5,2,61,18,3
5,2,33,13,5
4,1,47,15,5
4,1,42,13,5
3,2,57,14,6
1,1,NA,8,5
5,1,43,14,7
4,2,55,10,5
4,1,77,20,4
4,1,34,11,5
1,2,83,5,7
2,2,51,11,5
5,2,17,11,3
5,1,16,10,8
1,2,80,5,6
5,1,38,13,7
3,2,47,8,0
2,1,71,5,6
5,1,36,20,4
3,2,76,NA,2
5,2,28,13,5
5,1,29,13,3
5,1,47,13,2
5,1,51,13,7
5,1,36,16,4
1,2,69,9,3
5,2,43,19,6
5,2,82,5,5
5,2,17,8,9
1,1,65,9,5
1,2,89,5,2
5,2,54,13,10
3,1,35,13,2
5,1,74,12,5
5,1,19,10,NA
4,1,47,10,1
5,2,50,8,0
4,1,75,18,6
5,1,73,19,3
3,2,32,12,NA
5,1,48,20,6
3,1,65,20,7
4,1,39,11,3
2,1,61,13,0
1,2,83,6,0
5,2,39,16,3
1,1,84,3,0
5,1,42,13,6
5,2,47,13,3
1,1,88,5,6
4,1,23,9,0
5,2,24,NA,7
1,1,66,8,4
5,2,36,18,1
3,2,75,5,0
5,2,48,13,5
1,2,63,8,8
5,2,44,8,6
4,2,54,8,5
5,2,25,9,0
1,2,56,8,0
1,2,64,5,7
5,2,16,10,5
4,1,30,8,10
5,1,29,13,3
4,1,65,8,3
2,2,62,9,0
1,1,73,8,5
4,2,51,11,0
2,2,80,8,0
5,1,49,16,10
4,2,44,8,3
1,2,63,8,2
1,2,90,2,7
1,1,55,8,4
2,1,66,15,7
5,2,59,12,5
1,2,79,5,3
5,1,27,11,NA
1,2,74,8,3
5,1,29,17,NA
5,1,54,8,0
1,1,69,13,0
1,2,49,8,5
5,1,43,20,6
5,2,62,13,2
3,1,40,8,NA
4,2,73,8,3
1,2,77,12,3
5,2,43,11,0
5,2,46,13,6
5,2,35,13,5
5,1,51,16,6
3,1,43,12,7
5,2,61,13,5
2,2,58,8,6
1,2,66,9,3
2,2,59,13,5
5,1,53,13,7
5,1,17,11,NA
1,2,89,2,NA
1,1,75,NA,7
5,2,17,11,5
1,2,77,3,0
2,2,71,8,7
1,2,75,8,4
5,2,59,15,5
5,2,37,13,6
5,1,18,15,9
1,2,72,5,6
4,2,48,8,7
4,1,56,8,0
NA,2,NA,NA,NA
1,1,74,5,6
2,2,65,8,6
2,2,64,8,10
5,2,58,8,0
2,2,69,6,4
1,1,80,14,6
2,2,63,8,0
3,1,58,11,2
1,2,82,5,6
5,2,25,19,6
5,1,55,15,5
2,1,85,12,3
1,2,90,13,6
5,1,33,13,8
5,2,41,13,4
2,2,69,8,5
5,2,34,8,0
5,2,30,13,6
5,2,17,12,5
5,1,37,18,0
5,2,31,22,6
5,1,28,12,3
1,2,54,8,5
1,2,86,5,3
4,1,26,16,4
5,2,41,18,5
4,2,48,NA,8
5,1,52,13,6
2,1,83,5,6
5,2,44,8,5
5,1,19,12,5
1,2,73,NA,3
5,1,54,13,0
4,2,44,14,6
3,2,62,13,4
1,2,50,8,0
5,2,52,13,3
5,1,37,13,6
3,1,72,18,9
5,1,46,11,6
5,2,28,18,6
5,1,44,13,0
1,1,42,9,5
4,2,41,12,8
4,1,57,8,6
1,1,50,10,0
5,2,51,15,5
5,2,35,20,7
5,1,32,12,2
1,2,68,5,10
5,2,20,14,5
5,1,32,22,1
5,1,18,12,10
5,2,43,16,6
1,2,80,4,3
5,1,62,17,8
1,2,71,8,4
5,1,54,30,2
2,2,67,13,2
4,1,39,12,6
3,1,45,11,0
5,1,28,6,6
5,1,55,9,5
3,2,49,15,0
1,2,63,8,1
2,1,34,8,3
5,2,22,15,0
5,1,60,18,0
4,2,36,13,4
1,2,76,3,4
5,1,48,20,3
5,2,31,13,2
1,2,86,5,6
1,1,72,NA,7
3,2,37,12,4
5,1,45,18,4
5,2,59,14,4
5,2,59,10,3
5,1,50,16,8
1,2,73,1,NA
5,2,24,14,5
5,2,32,13,5
1,1,64,8,3
4,2,71,18,5
5,1,57,8,3
1,2,61,11,0
5,1,47,8,3
5,1,51,5,0
5,2,33,8,NA
2,2,55,11,4
5,1,23,10,0
5,2,51,14,3
5,1,17,11,2
5,2,46,18,0
1,2,84,5,4
5,1,67,13,6
1,1,79,5,NA
5,1,31,10,NA
5,2,27,13,0
1,2,48,8,5
5,1,33,13,7
1,2,89,5,0
5,2,25,16,6
1,2,68,8,1
3,2,60,13,6
5,1,30,8,6
4,1,58,18,0
1,2,74,8,5
3,1,78,7,3
1,2,76,8,3
5,1,40,20,7
5,2,58,13,7
3,1,50,8,2
5,1,52,13,2
1,1,79,5,3
5,1,54,12,4
4,1,57,14,3
5,2,61,13,7
5,1,22,15,6
5,2,20,8,0
4,2,74,5,6
1,2,67,8,NA
5,2,31,16,5
5,2,62,8,5
5,1,NA,9,4
5,1,39,11,3
5,1,41,14,1
1,2,39,8,NA
5,1,46,10,NA
5,2,47,13,0
4,1,36,11,5
2,2,63,8,7
3,1,68,15,4
5,1,31,10,9
5,1,29,10,0
1,1,63,8,0
5,2,25,13,5
5,2,24,17,3
5,1,21,NA,7
5,2,33,8,0
1,1,82,8,0
1,2,57,5,1
4,2,52,14,7
5,2,54,23,6
1,1,81,5,6
5,1,39,10,6
2,2,69,13,5
4,2,52,8,7
1,1,80,8,6
5,2,NA,8,3
5,1,16,10,10
1,2,84,5,NA
5,2,32,21,4
3,2,39,13,NA
5,1,55,13,6
4,1,77,14,3
1,1,76,11,6
5,1,29,11,7
2,2,75,8,4
1,2,75,7,3
5,2,51,13,6
1,2,71,8,6
1,2,90,6,6
5,2,24,14,5
5,1,55,10,6
5,1,30,13,4
1,2,73,15,1
NA,1,NA,NA,5
3,2,64,8,3
5,1,43,10,5
5,2,59,13,6
4,2,52,13,2
5,1,17,12,0
5,1,16,10,5
5,2,51,6,7
5,1,42,8,7
1,2,66,NA,0
5,2,39,12,0
5,2,21,13,3
2,1,27,8,0
5,1,16,8,4
5,1,66,19,5
5,2,16,10,2
1,2,68,5,5
4,2,40,22,5
5,1,57,6,3
5,1,50,12,7
2,1,65,10,5
5,2,61,14,0
1,2,74,5,0
1,1,75,8,0
4,2,50,8,5
3,2,58,8,8
1,1,69,10,6
5,2,52,10,NA
5,2,53,13,8
4,2,54,19,7
5,2,44,16,5
1,2,85,8,0
3,2,64,8,6
5,2,55,30,3
2,1,NA,11,5
5,2,52,13,0
5,1,29,13,3
2,1,69,13,0
3,2,78,5,5
5,1,19,10,NA
1,2,90,3,0
2,2,76,14,2
3,1,54,NA,5
5,2,27,20,5
5,2,67,18,7
2,1,88,5,4
4,1,21,11,6
5,1,43,10,8
5,1,27,10,5
1,2,71,5,0
1,2,82,13,0
1,1,63,15,5
1,1,84,5,6
3,2,44,NA,6
1,2,90,5,4
1,1,82,13,1
5,1,47,8,7
5,2,24,11,5
4,1,78,13,5
2,1,22,13,3
5,1,58,8,3
4,2,45,14,6
1,2,71,8,4
5,2,47,8,1
5,1,45,15,3
5,1,65,18,3
5,1,19,9,4
1,2,42,8,NA
1,1,86,5,5
4,2,58,13,6
5,1,41,18,6
1,2,82,10,0
3,2,33,8,3
1,2,74,8,6
5,2,37,8,8
5,1,40,13,7
1,2,82,13,0
2,1,53,12,0
3,2,73,18,5
1,1,90,NA,NA
5,2,39,13,4
1,2,90,NA,0
1,2,77,5,5
5,2,68,11,4
5,1,26,13,4
5,1,76,8,4
5,1,30,8,2
5,1,48,12,6
5,1,31,11,6
4,1,43,9,6
5,1,16,10,1
4,1,62,8,8
4,1,42,9,3
5,1,55,8,0
1,1,72,5,4
4,1,57,13,6
1,2,86,5,2
5,1,56,11,6
4,1,NA,15,0
5,2,45,11,7
1,1,84,5,NA
4,2,80,14,2
3,2,55,14,4
5,1,43,13,5
5,2,43,14,5
3,1,50,18,2
1,1,75,5,3
5,1,18,14,1
5,1,46,20,6
5,1,48,20,4
1,1,88,13,1
5,2,42,8,4
5,2,24,17,3
4,1,69,13,5
1,1,58,8,5
5,1,30,10,4
4,2,43,18,4
4,1,41,9,5
2,2,47,8,10
5,1,30,13,10
5,2,52,12,8
5,1,22,NA,5
4,1,52,10,8
5,1,53,13,2
5,2,49,19,2
4,1,34,8,6
1,2,90,4,6
1,1,80,5,10
4,1,49,18,7
1,2,59,8,4
5,1,35,12,6
1,2,81,3,0
5,1,70,8,2
5,2,37,13,5
5,1,34,9,0
5,2,52,13,4
1,2,85,7,6
5,1,63,8,7
1,1,72,5,5
5,2,49,13,6
1,2,84,5,NA
4,1,60,14,8
5,1,64,8,8
5,1,56,13,7
1,2,82,6,0
5,2,54,13,7
5,1,26,10,1
1,1,78,10,2
5,1,56,13,4
1,2,61,7,3
5,2,34,16,5
4,1,39,13,2
5,2,56,8,7
1,2,71,7,5
5,1,NA,15,4
3,1,66,8,0
4,2,34,14,NA
1,2,66,5,8
1,2,72,5,5
5,2,57,11,4
4,1,50,10,7
3,1,39,8,0
5,1,61,13,6
4,2,17,11,5
5,2,39,13,5
4,1,38,18,6
5,1,39,20,7
5,1,23,10,5
5,1,72,8,3
5,2,16,10,6
5,2,23,16,6
5,2,18,12,7
5,1,59,15,5
1,2,72,5,3
5,2,53,8,7
5,1,29,10,8
2,2,67,12,9
5,1,59,15,4
5,2,43,13,1
1,2,90,NA,3
1,2,86,13,10
5,1,32,13,6
4,1,48,13,8
1,1,67,15,0
4,1,45,12,7
5,2,31,19,5
2,2,57,11,3
5,2,46,16,6
5,2,56,18,3
1,2,30,8,0
5,1,45,16,5
5,1,29,14,6
1,2,25,8,6
4,2,70,8,0
5,2,27,10,6
4,2,43,15,0
1,2,71,5,5
5,1,25,18,6
5,2,23,16,6
3,2,49,8,1
5,2,27,13,5
5,2,23,16,4
1,2,69,5,4
3,2,69,12,5
2,2,51,8,7
1,1,80,5,2
4,2,50,10,9
1,2,55,8,0
5,2,43,10,0
1,2,64,10,6
4,1,38,15,2
1,2,54,5,5
3,1,71,NA,9
5,1,16,9,8
5,1,19,13,5
2,2,66,6,6
5,1,59,20,4
1,2,71,5,0
1,2,90,6,3
1,2,74,15,9
5,1,58,8,10
1,2,86,3,1
5,1,82,19,4
4,1,36,NA,NA
4,1,23,11,0
1,1,64,5,0
5,2,22,13,5
1,1,60,11,2
5,2,41,18,5
5,2,61,8,4
4,2,51,12,4
5,1,53,13,8
4,2,39,15,5
5,2,16,11,0
3,2,16,10,6
1,1,67,8,2
5,2,67,12,3
3,2,36,13,0
3,2,50,13,0
1,2,80,8,3
5,1,32,13,4
5,2,38,13,7
2,2,80,8,7
5,1,51,15,6
4,2,32,12,6
3,2,54,12,4
5,2,43,21,6
1,1,53,8,1
1,2,56,9,5
5,2,65,12,3
1,2,88,5,5
5,2,49,19,0
5,1,18,12,6
5,2,62,8,5
5,2,54,17,6
5,2,54,13,8
5,2,22,15,5
5,1,17,11,6
5,1,48,19,6
1,2,63,5,2
1,2,66,5,7
5,1,27,19,6
3,2,44,10,5
5,1,26,17,7
1,2,81,5,1
5,2,57,0,NA
2,2,70,17,4
4,2,57,8,4
5,1,17,10,NA
2,1,75,8,0
3,1,60,11,5
4,2,31,9,4
5,1,35,NA,6
1,2,79,2,3
5,1,69,16,2
5,2,39,13,4
1,1,88,3,0
1,2,70,8,4
5,2,41,13,7
5,2,32,13,2
5,2,45,13,5
5,2,33,14,4
5,1,55,13,6
5,2,19,12,5
5,1,53,8,0
5,2,35,18,3
4,2,41,13,3
4,1,58,9,5
5,1,77,13,7
5,1,71,19,7
5,2,23,13,6
4,1,41,8,0
5,2,66,13,5
2,2,55,11,7
5,1,49,13,6
1,2,86,6,5
1,1,78,10,5
5,1,21,13,0
5,1,61,8,7
5,2,23,15,3
5,1,18,13,3
5,1,85,8,3
3,1,73,17,2
5,2,61,13,4
5,1,31,14,7
5,1,21,13,7
5,1,17,11,4
5,2,16,11,7
3,1,72,10,0
5,1,56,18,5
5,1,48,13,1
3,1,17,12,8
2,1,51,8,0
5,2,53,NA,2
5,2,53,11,3
4,2,65,13,7
4,1,64,13,8
5,1,47,9,5
5,2,34,11,5
1,2,74,5,6
4,1,72,16,6
5,1,52,15,5
5,1,40,10,0
5,2,34,13,5
5,2,44,13,5
2,1,86,18,2
4,1,62,18,6
5,1,20,10,0
5,1,63,15,4
4,2,60,18,7
5,1,46,13,7
4,2,57,23,5
2,1,36,12,5
3,1,48,10,3
5,2,49,20,5
4,2,43,13,5
2,1,81,12,7
5,1,NA,13,6
5,2,29,20,7
5,1,30,17,5
4,2,45,8,0
5,2,19,13,8
1,1,89,2,1
2,2,26,8,0
4,1,46,18,4
5,1,48,13,1
5,2,34,8,0
2,2,21,13,3
1,2,79,3,0
1,1,79,5,3
5,1,62,14,10
4,1,43,13,9
1,2,77,5,3
5,2,60,12,4
5,1,54,20,2
5,2,51,NA,5
5,2,39,15,3
5,1,52,12,2
5,1,61,8,5
5,1,29,13,8
5,1,53,18,6
1,2,74,8,6
5,2,19,13,5
5,1,33,8,6
5,2,66,18,4
1,2,72,5,0
5,2,20,15,0
5,1,73,8,8
5,2,52,13,6
5,2,19,12,6
3,1,69,8,3
1,2,50,10,4
3,2,25,8,3
1,1,81,8,2
5,2,58,13,7
5,1,41,13,8
3,2,56,10,3
4,1,62,14,7
5,2,17,12,1
5,1,69,8,1
1,2,86,5,6
5,1,41,13,5
5,1,56,13,0
5,2,34,13,5
5,2,21,16,4
1,2,71,13,3
1,1,60,8,2
1,1,29,8,0
5,1,79,10,6
5,2,26,11,9
5,2,66,18,5
5,1,67,13,3
5,1,51,9,0
5,1,79,5,5
1,1,81,5,0
3,2,66,9,3
2,1,67,13,6
5,2,49,19,9
4,1,62,16,7
1,1,77,NA,4
2,2,72,13,NA
1,1,86,5,6
2,2,75,20,4
1,2,83,8,10
5,2,65,16,7
5,1,77,18,6
1,1,80,13,9
5,1,19,13,3
4,1,55,8,6
5,2,22,12,7
5,1,27,13,2
3,2,57,8,5
1,2,86,3,3
4,2,66,14,0
1,2,70,8,5
1,1,73,5,5
5,2,31,19,0
5,2,23,15,5
5,1,21,13,2
5,1,50,18,1
1,2,83,0,6
3,2,76,9,5
2,1,27,13,2
5,2,47,13,4
4,1,54,13,1
5,1,80,8,4
1,2,78,10,8
3,1,69,13,4
5,1,58,14,0
1,2,81,NA,1
5,1,39,7,1
2,1,68,13,5
1,1,78,5,4
1,2,73,8,3
1,1,65,5,8
3,1,46,8,5
1,1,58,14,6
1,2,63,8,5
5,1,42,22,9
5,2,27,19,6
5,2,54,13,6
5,1,38,13,5
2,2,67,20,3
2,1,68,13,7
3,1,21,15,4
4,2,51,8,1
5,2,36,13,0
5,1,54,13,4
5,2,74,8,6
5,2,50,14,5
5,1,75,8,3
5,1,43,13,7
5,2,59,8,6
5,2,53,13,3
1,2,90,5,0
1,1,84,5,6
2,2,17,NA,2
5,1,38,17,7
5,1,48,10,5
1,1,87,5,6
3,1,62,11,4
5,2,27,13,1
5,1,48,8,0
5,2,27,13,5
5,2,24,13,1
5,1,32,8,4
3,2,65,37,4
1,1,75,8,5
5,1,75,8,8
5,1,29,19,6
