"internettbruk","kjonn","alder","utdanning","tillit"
2,2,58,8,6
5,2,49,16,5
5,2,66,13,4
1,1,72,8,0
5,2,43,18,6
4,2,33,13,7
5,2,19,17,5
3,1,16,10,7
4,2,69,13,6
5,1,49,8,7
1,1,77,7,5
2,1,67,13,7
2,2,61,13,1
5,2,57,12,4
5,1,57,13,5
1,1,74,5,1
5,2,63,13,8
5,1,43,NA,7
1,1,45,7,6
5,2,58,13,3
5,1,39,13,2
5,1,20,13,4
4,1,53,13,6
5,1,20,8,7
5,1,49,8,8
5,1,50,13,3
5,1,23,8,5
1,2,78,3,NA
1,2,62,7,4
5,1,27,17,5
1,1,53,8,8
1,1,71,8,3
4,1,54,16,5
2,1,62,8,1
5,1,59,18,5
2,2,65,13,2
5,1,43,18,2
1,1,61,8,3
5,2,21,16,5
5,1,38,10,5
5,1,26,12,1
5,1,28,14,6
5,1,26,17,4
1,2,84,3,1
5,1,45,14,6
1,2,83,5,10
5,1,19,NA,5
1,2,87,8,1
4,2,54,11,2
1,2,71,5,1
1,2,87,11,5
1,2,59,8,5
5,1,38,14,2
3,1,70,5,1
5,2,28,20,6
1,1,79,6,5
5,1,57,13,8
5,1,43,13,8
1,1,65,8,1
4,2,41,14,4
1,1,67,7,4
5,2,43,13,0
2,2,55,11,0
1,2,74,6,6
5,1,40,17,0
5,2,40,11,5
5,1,44,8,NA
4,2,34,16,6
2,2,60,8,5
5,1,58,20,8
5,1,21,13,1
5,1,50,13,5
5,1,44,13,6
2,1,64,13,7
5,2,54,8,3
1,1,67,5,0
3,1,67,13,6
5,2,55,13,5
5,2,22,14,4
5,2,46,13,5
2,1,61,8,6
2,2,NA,NA,0
5,1,61,13,2
5,1,58,13,6
5,2,19,12,0
5,1,50,13,2
5,2,56,13,4
5,2,60,20,2
5,2,21,15,6
5,1,31,14,6
1,1,76,5,0
3,1,46,11,5
5,2,54,15,7
5,2,42,11,9
5,1,57,8,6
5,2,35,23,7
2,2,63,11,5
5,2,59,17,4
5,2,40,13,0
5,1,57,16,5
5,1,39,16,2
4,1,57,10,8
1,2,82,3,0
1,1,85,19,6
5,2,51,11,6
5,1,71,8,2
4,2,51,14,6
1,2,78,5,1
5,2,44,8,5
1,1,65,8,4
4,2,57,8,3
2,2,44,NA,0
5,2,36,19,5
5,1,40,14,0
1,1,41,13,4
5,2,68,18,6
1,1,76,3,2
4,2,47,16,5
5,1,70,8,2
3,2,48,14,6
5,2,67,13,5
5,2,33,22,5
1,2,90,3,6
1,1,72,18,7
5,2,64,5,0
1,2,86,8,4
1,1,67,8,0
5,1,54,14,5
5,1,20,13,NA
5,1,35,18,0
5,1,56,18,5
4,1,63,13,5
4,1,28,2,NA
5,2,23,16,0
4,2,50,13,5
1,2,67,11,NA
1,2,74,8,6
4,1,66,14,6
5,1,42,13,3
1,2,80,8,5
5,2,19,13,7
1,2,85,4,3
5,2,35,13,3
1,2,78,5,0
5,2,56,8,4
2,1,72,13,4
4,1,39,11,7
5,1,20,11,8
1,1,67,8,10
1,1,83,5,4
5,1,45,14,6
5,2,27,11,5
2,1,41,8,6
2,2,79,18,0
1,2,80,5,0
3,1,57,13,1
1,1,70,5,6
5,2,25,9,5
4,1,58,9,7
5,1,22,13,7
5,1,32,16,0
3,2,68,17,5
5,1,26,14,7
5,1,34,11,6
5,2,57,11,1
2,1,49,10,2
5,1,25,18,1
5,1,40,13,2
5,2,52,24,4
5,1,48,8,7
5,1,27,13,5
5,2,70,8,1
3,1,55,8,0
2,1,41,8,7
5,2,48,16,4
5,1,26,19,7
5,1,24,8,5
1,2,58,8,2
5,2,55,14,1
5,2,57,18,5
3,1,51,12,7
3,1,52,16,4
5,2,18,12,3
1,2,61,5,0
5,2,45,18,6
5,1,26,13,6
5,2,19,15,6
5,1,18,12,6
2,1,62,13,5
3,2,71,11,4
2,1,73,8,2
1,1,81,8,2
5,1,28,20,8
5,1,23,16,4
5,2,27,13,0
3,2,52,13,8
5,2,35,19,5
2,2,63,8,3
3,1,69,13,2
5,1,49,12,9
5,2,63,13,4
5,2,23,13,3
5,2,66,17,3
1,1,84,5,0
5,2,64,10,0
5,2,44,8,7
5,2,42,17,6
5,1,57,NA,5
5,2,16,10,7
5,2,46,20,8
1,1,57,5,3
5,2,46,10,2
5,2,32,14,5
3,2,55,13,0
1,2,84,5,0
5,1,58,11,7
5,1,33,13,NA
5,1,51,8,9
4,1,45,13,6
4,1,46,13,4
1,2,73,5,2
5,1,66,18,5
5,2,57,13,6
5,1,38,14,0
1,2,44,8,7
5,2,43,NA,0
1,2,72,3,8
2,1,54,8,2
1,2,80,5,0
4,2,21,8,4
5,2,36,13,5
1,1,73,8,8
3,1,35,8,0
1,2,67,8,3
5,2,40,11,3
3,1,51,12,7
5,2,47,15,0
5,1,31,20,6
5,2,52,8,NA
1,1,67,6,2
1,2,80,5,0
5,1,45,20,1
5,1,34,18,4
5,1,41,18,5
5,2,38,11,3
3,2,51,13,8
4,1,53,13,4
3,1,71,8,3
5,2,30,18,3
5,1,28,16,0
1,2,75,NA,10
5,1,23,15,5
5,2,19,13,6
1,2,80,5,0
5,2,45,19,5
3,2,43,15,6
4,2,62,10,7
3,1,63,8,6
5,2,24,14,6
2,2,60,10,3
4,1,52,20,1
5,2,24,18,3
1,1,79,5,7
5,1,70,17,10
5,2,48,8,6
5,1,39,13,6
5,1,18,12,6
1,2,70,5,2
5,1,17,10,2
5,2,26,13,8
1,1,77,8,3
1,1,59,8,0
5,2,48,13,5
4,1,55,18,4
1,1,81,25,2
5,1,60,8,4
5,2,37,8,8
5,2,38,13,5
5,1,67,13,4
5,1,53,8,4
5,2,19,8,2
5,1,72,18,5
4,2,50,8,3
4,2,52,8,8
5,1,19,13,5
4,2,42,8,9
5,2,39,15,7
4,1,62,13,7
5,2,65,8,4
5,1,19,13,6
4,1,23,12,7
5,1,77,8,5
5,1,24,23,6
5,1,48,11,0
5,2,57,9,4
5,2,26,19,5
5,1,19,16,7
1,1,62,8,0
5,1,62,13,8
1,2,70,8,3
5,1,40,8,6
1,2,69,5,2
5,1,68,18,8
4,1,35,14,10
5,2,40,18,5
5,2,36,14,6
2,1,69,5,1
1,2,69,10,2
5,2,18,12,6
4,2,79,3,6
5,1,35,14,5
5,2,47,13,4
5,1,46,12,6
5,2,44,13,6
3,2,64,9,2
2,2,69,NA,7
2,2,34,9,7
5,2,19,12,0
5,1,39,17,7
5,1,19,13,5
2,1,42,13,5
3,1,56,8,5
5,2,22,9,5
1,2,81,5,2
3,2,79,13,4
1,1,78,8,4
1,1,72,16,6
5,2,62,18,2
5,1,46,13,6
5,2,53,18,7
1,2,74,13,3
2,2,59,13,9
4,1,66,8,4
2,1,73,8,5
4,2,52,8,9
5,2,43,11,7
5,2,41,8,4
5,1,56,13,4
5,1,25,17,4
5,2,43,8,0
1,2,78,12,6
4,2,57,14,5
5,2,51,18,8
1,2,81,5,5
5,2,23,13,6
1,2,50,10,0
5,1,16,11,7
2,1,48,10,3
4,1,35,12,0
5,2,67,19,6
5,2,42,13,6
1,2,60,11,0
5,1,54,18,4
3,2,44,13,6
5,2,41,12,0
5,1,31,13,6
5,1,24,10,5
1,2,69,5,1
2,2,63,13,5
4,1,72,13,8
5,2,55,9,4
5,1,49,13,3
2,1,79,13,2
5,1,22,13,4
5,1,19,12,4
4,2,27,13,1
5,1,28,13,6
1,1,84,5,8
5,1,23,11,2
5,2,18,12,5
5,1,29,13,7
4,2,75,8,7
5,2,20,12,6
1,1,74,10,2
1,2,68,5,6
2,1,55,10,3
1,2,80,6,7
1,2,80,5,0
5,2,62,14,0
1,2,90,5,0
5,1,47,13,7
5,1,50,13,8
1,2,80,5,3
5,2,57,8,0
1,2,78,10,0
2,2,71,13,0
5,1,62,16,2
5,2,36,19,7
1,2,80,5,5
2,2,69,8,4
3,1,45,14,1
4,1,89,13,2
5,1,20,14,0
3,2,42,13,5
3,1,46,8,2
1,1,79,8,0
5,2,32,16,6
1,2,63,5,4
1,2,78,8,6
4,2,56,11,1
4,2,50,10,4
5,1,30,11,3
3,2,56,12,6
4,2,28,NA,0
5,2,67,27,2
5,2,57,13,0
4,2,38,13,6
5,2,18,12,NA
5,2,50,13,1
4,1,51,18,1
2,2,60,11,6
2,1,67,8,4
3,2,65,13,2
4,2,50,13,7
3,2,55,13,0
4,1,62,13,6
1,2,71,9,4
3,2,67,8,4
5,1,74,8,2
5,2,39,15,3
5,2,24,18,2
5,2,39,14,5
5,1,65,18,6
4,2,21,11,3
5,1,77,18,3
4,1,43,NA,0
2,2,78,NA,2
5,2,40,13,5
1,1,66,8,3
5,1,36,8,NA
5,2,22,17,6
1,1,58,10,3
5,1,53,8,7
3,2,64,13,4
1,2,84,10,4
5,2,26,13,5
5,1,22,15,0
5,1,23,15,6
5,1,19,11,7
4,1,46,8,0
5,2,72,10,3
5,2,39,13,0
4,1,63,NA,7
1,2,78,5,2
5,2,26,18,7
3,1,67,9,4
5,1,78,19,5
5,1,19,13,5
3,1,43,13,2
5,2,61,8,8
4,2,29,NA,2
5,2,45,13,0
1,2,79,23,0
5,2,43,22,7
5,2,61,18,0
1,2,64,8,7
5,1,27,10,10
5,2,49,14,4
5,1,47,11,5
5,2,19,16,5
1,2,71,7,3
2,1,53,8,2
5,1,42,NA,7
5,1,62,21,8
5,2,24,21,8
1,1,70,9,1
5,2,38,NA,7
5,1,44,20,4
5,1,19,NA,3
4,2,51,8,1
1,2,NA,8,3
5,1,31,16,10
4,2,50,16,5
5,2,41,13,2
5,2,47,8,7
1,2,64,NA,0
5,2,17,12,5
2,2,63,12,4
5,2,58,13,7
1,1,56,8,7
5,2,60,20,7
4,2,38,13,5
4,2,71,12,6
1,1,58,8,2
4,2,53,8,0
5,2,40,14,6
5,1,54,13,2
5,1,50,15,6
5,1,52,13,6
1,2,58,8,0
5,2,32,15,6
4,1,32,11,7
4,1,74,8,5
3,2,57,3,5
3,1,64,NA,0
2,1,42,NA,0
5,1,58,11,7
5,1,37,14,8
2,2,62,5,3
1,1,71,8,3
5,1,22,15,6
5,1,21,10,6
4,2,37,18,3
5,1,81,5,0
5,2,28,8,5
1,1,69,7,5
1,1,75,5,4
1,2,72,6,8
1,2,73,2,4
4,2,25,10,9
4,2,48,13,0
2,2,56,13,4
5,1,50,12,6
4,2,78,17,3
5,2,69,8,1
5,2,24,13,4
5,1,30,8,5
5,1,25,10,9
5,2,58,13,5
3,1,62,14,5
1,1,76,8,5
5,2,19,12,8
5,1,20,17,1
1,1,72,5,5
5,2,84,18,1
5,2,55,8,2
4,1,65,14,6
5,1,16,10,7
5,2,41,13,4
2,1,50,14,9
5,1,22,13,1
5,2,64,13,7
1,1,73,5,5
3,2,52,9,7
NA,2,56,NA,1
4,2,57,11,5
2,2,71,6,6
5,1,25,17,6
3,2,32,8,0
5,1,60,16,5
5,1,35,16,4
5,1,57,16,8
5,1,59,12,5
5,2,33,13,5
2,2,73,8,1
4,2,63,8,5
4,1,68,10,3
5,2,22,16,3
1,1,67,8,0
5,2,37,11,7
5,1,34,8,7
3,1,54,13,7
5,1,41,13,6
3,1,35,NA,NA
1,2,70,5,2
5,1,66,8,3
5,1,17,11,2
5,2,18,12,8
5,2,52,10,2
5,2,67,13,5
4,1,75,13,1
1,2,86,5,6
5,1,44,11,4
5,1,30,13,1
5,2,16,11,5
1,1,52,8,7
1,2,73,5,0
1,2,67,13,8
5,2,25,14,6
5,2,49,13,5
5,1,43,19,8
5,2,24,13,6
4,1,32,12,5
4,1,NA,9,2
5,2,54,19,3
5,1,17,10,7
1,1,76,3,5
2,2,58,8,5
2,2,65,16,6
5,1,56,13,0
1,2,81,6,0
5,1,20,13,7
5,1,69,9,6
1,1,66,13,0
5,2,62,13,3
2,2,76,9,3
5,1,67,13,7
4,2,56,12,8
1,1,62,12,7
5,1,26,20,6
1,1,55,13,6
5,2,61,13,2
4,2,44,8,3
4,1,39,19,5
3,2,51,7,5
1,2,76,5,4
3,2,66,8,7
1,1,46,NA,0
3,2,61,8,7
5,2,19,12,4
4,1,39,10,0
5,2,52,14,4
5,1,36,14,5
5,1,17,10,NA
5,1,28,13,2
5,1,41,13,4
5,1,51,8,5
1,2,84,8,NA
1,2,87,5,5
5,2,17,10,6
5,2,27,8,0
5,2,67,13,0
1,1,70,8,1
5,2,53,14,6
4,2,33,7,6
4,2,54,13,5
4,2,56,8,6
3,2,55,13,5
4,1,31,8,6
3,1,18,10,NA
4,2,66,13,3
4,2,55,8,6
5,2,39,18,6
5,2,25,13,0
4,2,51,13,0
5,1,51,17,6
2,2,67,5,0
5,2,16,10,5
5,1,43,13,7
4,2,47,13,7
5,2,26,18,4
5,1,50,13,7
2,2,56,9,0
5,2,38,19,5
5,2,23,13,5
5,2,45,21,5
5,1,61,13,5
2,1,58,10,2
1,1,62,8,5
3,1,70,NA,2
5,1,30,19,7
1,2,56,5,1
2,2,39,12,8
5,2,39,22,3
5,2,18,12,0
3,1,65,5,2
5,1,29,13,3
4,2,44,14,7
3,2,34,15,6
1,1,79,5,3
2,2,34,10,NA
5,2,65,3,3
1,1,63,13,0
5,1,25,16,6
5,1,21,13,2
1,1,62,8,10
5,1,48,13,5
3,2,68,8,0
4,2,29,13,4
5,1,77,20,10
1,2,40,15,NA
1,2,69,5,6
2,1,82,5,6
5,1,47,8,8
5,2,30,17,6
4,1,49,14,3
4,1,17,8,5
5,2,72,13,3
1,2,82,5,1
1,2,65,8,5
1,1,83,5,4
1,1,74,8,3
1,2,69,8,5
5,1,22,16,5
1,1,70,8,2
5,1,16,9,1
4,1,42,13,0
1,2,76,4,0
5,2,72,5,5
1,1,83,5,3
5,1,34,20,4
5,1,40,13,5
5,2,30,16,5
1,2,80,4,8
1,2,59,8,NA
4,2,NA,NA,0
1,2,71,6,NA
4,1,40,15,3
1,2,83,5,4
5,1,62,16,8
5,1,20,13,4
3,1,62,12,7
5,1,45,17,4
5,1,20,13,7
1,1,86,5,5
1,2,81,5,1
5,2,25,15,7
2,2,51,8,0
5,2,67,8,5
3,1,59,9,2
5,1,46,13,8
5,1,18,12,3
5,2,25,16,5
5,2,22,16,8
5,1,26,22,4
5,2,21,13,4
1,2,84,6,3
4,1,39,17,6
1,1,71,12,7
5,1,19,13,8
2,1,37,11,7
5,1,60,15,5
4,2,72,19,5
5,1,25,18,4
5,2,59,10,NA
2,2,61,13,8
2,2,68,7,4
4,2,65,18,6
5,1,40,18,4
5,2,20,13,5
3,1,24,17,5
1,2,77,8,0
1,1,68,13,2
5,1,24,13,4
5,1,48,NA,4
3,2,59,10,2
1,2,85,5,0
5,2,31,13,4
2,2,65,8,3
3,1,66,9,4
1,1,56,4,2
5,1,20,16,6
5,2,36,8,7
5,2,23,16,1
3,2,20,5,2
5,1,56,16,6
5,2,50,13,3
1,2,76,13,7
4,2,47,13,4
4,2,41,3,0
5,1,59,13,3
5,1,50,8,6
4,2,33,13,4
5,2,20,13,7
5,2,44,13,1
5,2,55,14,5
5,2,49,13,6
3,2,46,8,4
5,2,36,8,3
4,2,22,8,5
3,2,66,10,NA
4,1,45,11,7
2,2,65,30,8
1,2,85,3,0
5,1,73,14,6
5,1,54,13,2
5,1,30,18,8
4,1,45,16,9
2,1,NA,NA,6
5,2,58,19,5
4,1,29,13,8
3,2,54,12,5
5,1,25,18,7
5,1,41,13,6
5,1,50,13,0
4,2,27,13,3
3,2,37,14,5
1,1,80,NA,0
5,2,24,16,3
2,2,66,8,4
1,1,81,8,5
5,2,25,21,10
5,1,58,10,4
5,1,44,18,4
3,1,68,NA,5
4,2,46,8,2
4,1,54,13,7
1,1,54,6,5
5,1,33,13,8
4,2,46,16,0
5,1,36,15,5
5,2,43,13,6
4,1,43,13,6
5,2,27,14,7
5,2,26,15,5
5,2,16,11,2
1,1,74,5,6
4,1,45,12,0
5,2,45,10,4
1,1,66,8,0
4,2,27,10,7
4,1,35,8,7
5,2,52,10,7
5,2,46,8,2
4,1,24,12,5
5,1,24,20,8
1,1,81,NA,7
4,1,62,8,4
5,1,29,9,4
5,2,37,18,6
5,1,52,20,0
5,2,34,13,8
5,1,45,18,6
5,2,66,8,4
1,2,75,5,0
3,2,55,11,NA
5,1,33,9,7
4,2,68,13,3
3,2,48,8,5
4,2,67,8,3
1,2,84,5,1
5,2,45,8,6
1,2,82,NA,8
2,1,52,8,3
5,2,20,14,7
3,1,79,17,9
2,2,51,8,7
4,1,25,10,0
1,1,74,8,2
5,1,50,20,3
5,1,47,16,5
1,2,NA,13,4
5,2,76,13,6
1,2,51,8,5
5,2,62,13,2
5,1,51,13,5
5,1,45,10,4
5,2,54,NA,NA
4,1,60,5,2
5,1,51,12,NA
4,1,35,8,6
2,2,53,8,NA
3,2,77,15,6
5,2,21,15,6
2,2,36,16,5
5,1,55,13,6
2,2,57,13,7
3,1,55,14,7
1,2,68,5,5
1,1,70,3,5
5,1,28,18,2
5,2,46,7,5
5,2,55,12,6
5,1,36,18,3
4,2,56,8,4
2,1,69,13,0
5,1,68,14,2
5,1,19,13,5
5,2,53,18,8
1,2,88,18,6
1,2,59,5,5
2,2,54,8,4
5,1,19,10,NA
1,1,82,1,0
4,1,48,14,0
1,2,67,6,4
5,1,42,18,4
5,2,25,13,0
4,1,NA,18,6
1,1,85,3,0
5,2,28,13,6
5,2,22,13,7
4,1,26,9,5
5,2,55,13,4
1,2,72,8,4
5,1,59,14,1
1,1,73,14,3
4,2,NA,13,4
5,1,55,13,0
1,1,71,13,6
1,1,70,8,10
5,1,24,17,4
2,1,58,13,2
5,1,19,13,5
3,1,74,13,4
5,2,24,18,6
5,1,18,12,6
3,1,46,13,7
1,1,74,5,0
1,1,72,8,4
5,1,58,13,0
4,2,46,12,8
4,1,58,13,4
5,2,65,13,4
4,1,52,8,3
1,1,83,5,0
4,1,58,13,0
2,2,70,5,3
5,2,54,8,3
5,2,44,8,8
5,1,28,21,8
1,2,71,8,9
3,1,41,8,0
5,1,24,15,5
5,1,69,19,8
1,2,66,8,4
3,2,40,8,1
5,2,52,9,5
1,2,80,5,8
1,1,73,8,7
1,2,70,8,7
5,2,47,13,6
5,2,37,13,5
5,1,69,13,5
1,2,74,5,2
1,2,57,5,3
5,1,55,11,1
2,2,45,5,6
1,1,71,18,0
5,2,19,12,4
5,2,44,10,8
2,1,78,2,8
1,2,82,12,8
3,1,44,10,6
5,1,52,13,3
5,2,58,13,7
4,2,56,8,6
